source,target
There's no point in trying again.,再试也无济于事了
Can you please tell me your name once more?,请问你能再告诉我一遍你的名字吗
I have a bad headache today.,今天我头痛欲裂
I will show you some pictures.,我会让你看照片
Tears filled her eyes.,她热泪盈眶
She rushed home with the good news.,她急忙带著好消息跑回家
I admire his courage.,我佩服他的勇气
He painted the ceiling blue.,他把天花板刷成了蓝色
Thanks for agreeing to come.,谢谢你答应到来
The next concert will take place in June.,下一场音乐会将在六月份举办
What do you really want to say?,你实际上想说什么
I'll never forget what you told me.,我将永远不会忘记你告诉过我的话
It's started raining again.,又开始下雨了
Why didn't you do it?,你为什么没做
Will you go to Harvard?,你会去哈佛大学吗
I'd rather be poor than rich.,我更愿意贫穷而不是富裕
Honesty is the primary reason for his success.,诚实是他成功的主要原因
Don't tell anyone our plan.,不要把我们的计划告诉任何人
I went to three funerals last month.,上个月我参加了三场葬礼
Which one are you referring to?,你指的是哪个
I find it hard to get up early on cold mornings.,我觉得在寒冷的早晨很难早起
What happened to you yesterday?,你昨天发生了什么事
I get along with my younger brother.,我与我的弟弟相处融洽
I enjoyed talking with him at the party.,在派对中我和他聊得很开心
I can recommend this book to you.,我可以向你推荐这本书
Tom and Mary's home is cluttered.,汤姆和玛丽的家很乱
I can't stand this pain any more.,我不能再承受这种痛苦
He wouldn't listen to my advice.,他不听我的劝告
Could you help me translate this into French?,你能帮我把这译成法语吗
I returned the knife which I had borrowed.,我把我借来的刀还了
I don't want to drink anything.,我什么都不想喝
I approved it.,我赞同
Why is your mouth so big?,为什么你的嘴那么大
Something has happened to my car.,我的车出了点事
May I open the windows?,可以开窗吗
The boy made fun of the girl.,这个男孩取笑了这个女孩
Do you have any money with you?,你身上有钱吗
Please help me.,请帮助我
How did your journey begin?,你的旅行是怎么开始的
I'll be free all day tomorrow.,明天我一整天都有空
Please don't say that.,请不要这样说
Are you mad?,您生气了吗
I'm chewing gum.,我嚼口香糖
I couldn't control my anger.,我控制不住自己的愤怒
Is the door open?,门开著吗
May I ask you a question?,我可以问你个问题吗
I like red roses.,我喜欢红色的玫瑰
We've not done well.,我们没有做好
I'd like to speak with you in private.,我想跟你私下说话
I want to become a singer.,我想当歌手
I bought them each a present.,我买给了他们每人一份礼物
Tom isn't foolish.,汤姆不傻
You'll have to leave now.,你现在必须离开
"""If I were you, I'd do the same.""",如果我是你
Are you going or not?,你去还是不去
There's an orange on the table.,桌上有一只橙子
I'd like to join your group.,我想加入你们的团队
She considered his offer carefully.,她仔细考虑了他的提议
What's your favorite item of clothing?,你最喜欢哪类的衣服
It is ten degrees below zero now.,现在是零下十度
Someone yelled for help.,有人呼救
He grew up in a little village.,他在一个小村庄里长大
She can never keep a secret.,她永远也做不到保守秘密
That's a huge challenge.,这是一个巨大的挑战
There's a book about dancing on the desk.,桌子上有一本关于舞蹈的书
I talked to him on the telephone yesterday night.,我昨晚跟他通电话了
Flies and mosquitoes interfered with his meditation.,苍蝇和蚊子干扰了他的冥想
Tell Tom what Mary asked you to do.,把玛丽交代你去做的事告诉汤姆
Tom isn't yet finished.,汤姆还没完成
Tom didn't have a fever this morning.,汤姆今天早上没有发烧
Her red dress made her stand out.,她的红色礼服使她引人注目
That's my money.,那是我的钱
What'll tomorrow's weather be like?,明天天气怎么样
He does not come here every day.,他不是每天都来这
It doesn't matter what you do.,你做什么都无所谓
I don't drink coffee at all.,我一点咖啡也不喝
Do you have anything to eat?,你有东西吃吗
We're still vulnerable.,我们还是脆弱不堪
I think you're stupid.,我认为你傻
This rule doesn't apply to every case.,这条规则不是任何情况下都奏效的
Eating raw eggs could be bad for you.,吃生蛋可能是危险的
"""Two for the lunch buffet, please.""",两人份自助午餐
He has a car.,他有辆车
Tom adores Mary.,汤姆爱慕玛丽
"""If you can sing, that's good enough.""",如果你会唱歌就好了
That was three days ago.,这是三天之前了
I asked a policeman for directions.,我向一个警察问路
The meaning of this sentence is obscure.,这句句子意思模糊
She must have done it yesterday.,她昨天一定已经做过了
Tom is there alone.,Tom
How much is this camera?,这部相机多少钱
This house is really beautiful.,这房子真漂亮
I don't feel well.,我感觉不舒服
You should try to learn a little French.,你应该试试学点法语
He must have missed the train.,他一定是错过了这班火车
He went there instead of his father.,他代替他的父亲去
Are you happy?,你开心吗
This is my younger sister.,这是我的妹妹
Watch out for cars when you cross the street.,当你过马路的时候要当心汽车
This coffee is too hot for me to drink.,这咖啡热得我没办法喝
It is no use crying over spilt milk.,为溅出的牛奶哭也没用
My driving instructor says I should be more patient.,我的驾驶教练说我应该更有耐心一点
He still loves her.,他仍然爱着她
Some things are better left undone.,有些事不做更好
When will the rainy season be over?,雨季何时会结束
The phone rang.,电话正在响
How long ago was that?,多久以前
I wanted to smack you.,我想过扇你一巴掌
He threw a stone at the big dog.,他朝着大狗扔了块石头
Science is fun.,科学好玩
"""I'm sorry, but I really have to go.""",我很抱歉
Tom doesn't even know my name.,汤姆甚至不知道我的名字
I'm afraid I must say goodbye.,恐怕我必须说再见了
He picked up the book.,他拾起了书
He used to meditate in the morning.,他过去时常在早上的时候冥想
He was forced to work overtime.,他被迫加班
Tom took a step back and fell.,汤姆后退一步跌倒了
The poor young man finally became a great artist.,这个穷小子最后成为了一个了不起的艺术家
"""Pass me the salt, will you?""",请把盐递给我
I'm trying to think of a better plan.,我在想有没有什么更好的计划呢
You look tired.,你看起来很困了
No one noticed her absence until the meeting ended.,直到会议结束之前都没人注意到她不在
The neighborhood was silent.,社区是安静的
There is no school during August.,8
This dress is a good bargain.,这条连衣裙很便宜
He went to Italy in order to study music.,为了研读音乐他去了义大利
We kept quiet.,我们保持了沉默
Tom should've finished it by now.,汤姆现在应该已经完成了
I want you to work harder.,我希望你更加努力地工作
That's not what I told Tom.,那不是我对汤姆说的
He was busy.,他很忙
Tom doesn't usually eat breakfast.,汤姆一般不吃早饭
Please don't say that.,请你不要说这个
These pants fit me well.,这些裤子我穿起来很合身
It's on the sofa.,它在沙发上
We just have enough time to eat breakfast.,我们刚好有时间吃早饭
I don't have a cat.,我没有猫
Don't let Tom leave.,别让汤姆走了
When is breakfast?,早餐是从几点到几点
Give me a bottle of wine.,给我一瓶葡萄酒
She warned him not to go alone.,她警告了他不要一个人去
Finish your work.,完成你的工作
I had an accident at work.,我出了工伤
"""Water is liquid. When it freezes, it becomes solid.""",水是液体
"""Shortly after the accident, the police came.""",事故发生后不久
Will you pass me the salt?,请你把盐递给我好吗
How did you know that I liked Tom?,你怎么知道我喜欢汤姆
I succeeded in getting what I wanted.,我赢得了我想要的
What do you need?,你需要什么
Everyone ought to be the master of his own destiny.,每个人都应该做自己命运的主人
She patted her hair into place.,她把头发拍整齐了
I took the elevator to the fourth floor.,我搭电梯去了四楼
He managed to get home before dark.,他设法在天黑前回家
I had to change clothes because what I was wearing wasn't appropriate for the situation.,我必须要换衣服
The library is in the middle of the city.,图书馆位于市中央
There are a lot of dictionaries in the bookcase.,书架上放着很多字典
My father drives to work.,我父亲开车去上班
It was lucky for you that you found it.,你很幸运找到了它
Have you already called Tom?,你已经给汤姆打过电话了
She gave me a present.,她给了我一件礼物
I have no energy today.,今天我没有精神
I'm going to major in French.,我将主修法文
Turn up the radio a little bit.,把收音机开大声一点
I'm only thinking of you.,我只想到你
Does this bus go to the beach?,这辆公车去海滩吗
He knows how to make a radio.,他知道如何做收音机
Don't underestimate me.,别瞧不起人
She was almost late for school.,她上学几乎迟到
Why is change so hard?,为什么改变那么难
Did you ever try?,你试过吗
We get the materials from Malaysia.,我们从马来西亚得到材料
I play the guitar after dinner.,我晚饭后弹吉他
Where's the bathroom?,厕所在哪里
My uncle lives in an apartment.,我叔叔住在公寓里
What does your father do?,你父亲是做什么的
I'll give you this pendant.,我会给你这个坠饰
It may never happen.,它可能永远都不会发生
He lost his eyesight in the accident.,他在意外中失明了
I'd like to finish the work on my own.,我想自己把工作做完
My mother hates writing letters.,我妈妈讨厌写信
They have a very nice veranda.,他们有一个非常漂亮的暖房
He has his own room.,他有自己的房间
Tom's life was changed forever.,汤姆的生活被彻底改变了
It's not hard to understand.,不难理解
"""Which translation of this book do you think is better, the French one or the English one?""",你觉得这本书的哪个译本比较好
He knows a lot of people.,他认识很多人
It's your turn to answer the question.,轮到你回答问题了
She gets up at seven.,她早上
He lost his eyesight in an accident.,他在一次意外中失去了他的视力
He was walking up the hill at a steady pace.,他迈着稳健的步伐登上了山丘
I had to study hard to keep up with the other students.,我必须努力学习
Traffic was blocked by a landslide.,交通被山崩所阻断
I'm tired of working a nine-to-five job.,我厌倦了做朝九晚五的工作
I'm fine.,我很好
I miss you.,我想念你
Do you have a soup bowl?,你有碗盛汤吗
Tom will never see you again.,汤姆以后再也不会见你了
There's narrow road to the village.,到村庄有条窄路
I like shopping with Tom.,我喜欢跟汤姆购物
Fish and red wine don't go well together.,鱼和红酒不合
You seemed surprised.,你看起来很吃惊
I hear that you play the piano.,我听说你弹钢琴
I'm looking over his report.,我在阅读他的报告
You don't have to raise your voice.,您不需要提高音量
He is a student at Harvard.,他是一个哈佛的学生
I need evidence.,我需要证据
I'd like to call my family.,我想给家人打电话
A friend in need is a friend indeed.,患难见真情
The talks will deal with the problem of pollution.,这场谈论即将对污染问题展开讨论
Can you walk?,你们能走吗
She was wearing a blue coat.,她穿了一件蓝色大衣
When did you get to know Tom?,你是甚么时候认识汤姆的
We have two children.,我们有两个孩子
Tom bent down and picked up a handful of sand.,汤姆弯下腰
You'll go to school tomorrow.,你明天去学校
The damage is done.,覆水难收
Am I overreacting?,我反应过度了吗
I'm wounded.,我受伤了
Is there a zoo in Boston?,波士顿有动物园吗
Is that a picture of me?,那是我的照片吗
Tom no longer trusts Mary.,汤姆不再相信玛丽了
He plays the guitar well.,他吉他弹得很好
He treats me like his slave.,他对待我就像他的奴隶
Tom didn't want to work in Boston.,汤姆不想在波士顿工作
Don't step in the mud.,别走进泥地
"""Once you have formed a bad habit, you can't get rid of it easily.""",坏习惯一旦被养成
Leave more space between the lines.,行与行之间多留些空间
I got her to clean my room.,我让她把我的房间弄干净
I don't like that.,我不喜欢
We don't expect Tom to live much longer.,我们不指望汤姆能活得更久
I had my composition corrected by the teacher.,我把我的作文拿给老师订正
He doesn't come here every day.,他不是每天都来这
How do you want your hair cut?,你想怎么剪你的头发
Water boils at 100 degrees Celsius.,水在摄氏
The library is on the second floor.,图书馆在二楼
No security system is foolproof.,没有防傻的安全系统
I want something cold to drink now.,我想现在喝冷的东西
My watch has stopped.,我的表停了
It's nothing serious.,这没什么要紧的
I've been waiting here for thirty minutes.,我在这里等了三十分钟
"""If you need anything, let me know.""",如果你需要任何东西
He can't buy a car.,他不能买车
Tom's French is already rather good.,汤姆的法语已经很好了
I'm just worried about my weight.,我只是担心我的体重
The hunters aimed at the elephant.,猎人们用枪瞄准了大象
The exam was divided into two parts.,考试分为两个部分
Tom took this photo.,汤姆拍了这张照
Let's go now.,我们现在去吧
How much does the wooden chair cost?,那张木椅要多少钱
Your driver's license has expired.,你的驾驶执照已经过期了
He married a stewardess.,他娶了一个空姐
Tom is a strong guy.,汤姆是个很强壮的人
I can't stop sneezing.,我止不住打喷嚏
She plays the piano very well.,她钢琴弹得很好
I want much more.,我要多很多
It may not be possible.,不太可能
You remind me of your brother.,你让我想起你的兄弟
Can you play the guitar?,你会弹吉他吗
Love is blind.,恋爱使人盲目
Tom is the richest guy I know.,汤姆是我所知道的最有钱的家伙
It is rude to stare at someone.,盯著别人看是不礼貌的
Tom also talked.,汤姆也说话了
We had a chat for a while.,我们聊了一会儿
There are almost no books.,几乎没有任何书籍
I feel very sorry for your sister.,我对你姐姐感到非常遗憾
Pale ale is a low-alcohol beer.,淡啤酒是一种酒精含量低的啤酒
He got 90% in English.,他英文得到了九十分
You have no sense of direction.,你一点方向感都没有
The horse stopped and refused to go on.,马停了下来
They were scolded by the teacher.,他们被老师训斥了
She was very embarrassed when her child behaved badly in public.,当她的孩子在公共场合行为表现不好的时候
He is about your age.,他岁数和你差不多
I called her up.,我给她打电话
Singing is her strong point.,唱歌是她的强项
He stole her watch.,他偷了她的手表
He looks older than my brother.,他看起来年纪比我的兄弟大
I am too short.,我太矮了
We had a mild winter last year.,去年冬天很暖和
I have mixed feelings about this.,我对这件事百感交集
I am watering the flowers.,我在浇花
He moved into my neighborhood.,他搬到了我家附近
My father is an office worker.,我父亲是一名办公室职员
Let's meet again soon.,让我们很快地再次见面
"""Suddenly, I heard shouting.""",突然
"""Shut the door, please.""",请关上门
I don't know where Tom's socks are.,我不知道汤姆的袜子在哪里
How did Tom get out of jail?,汤姆是如何出狱的
What's Tom saying?,汤姆在说甚么
I don't go to school.,我不去学校
The admission is ten dollars a person.,入场费一个人
How could things get worse?,事情是怎么变糟的
I'm crazy about football.,我爱足球爱疯了
They ate sandwiches for lunch.,他们午饭吃了三明治
We're very disappointed in you.,我们对你很失望
Please talk to Tom.,请跟汤姆谈话
The incident made everyone feel more embarrassed.,这件事弄得大家都比较尴尬
Farmers always complain about the weather.,农民总是抱怨天气
Tom is waiting for you in the conference room.,汤姆在会议室等你
He is to blame for the failure.,失败的责任在他
She didn't think so.,她没这么想
Tom isn't a very nice guy.,汤姆不是个多好的人
Why can't you come?,你为什么不能来
Tom told me that I shouldn't ever do that.,汤姆说我绝不该做
Are you really willing to help?,你是真的很乐意帮忙吗
I only wanted to forget.,我只想忘记
I need a bag. Will you lend me one?,我需要个包
We talked about it all night.,我们谈这事谈了一整夜
I look forward to your next visit.,我期待著您的再次光临
Please stop fighting.,请您们别再吵了
I don't like swimming in pools.,我不喜欢在泳池里游泳
We were surprised to hear the news.,我们听到这个消息很惊讶
He was moved to tears when he heard the news.,当他听到那个新闻的时候
My car is at your disposal.,你可以随便用我的车
The school will provide tents for us.,学校会提供帐篷给我们
I'll admit I'm wrong.,我承认我错了
I never thought that would happen.,我从来没想到会发生那种事
Can you do bookkeeping?,你会记帐吗
You can reach the park by either road.,哪条路都可以去公园哦
We will only consent on that condition.,我们只会在那样的条件下同意
We're all at risk.,我们都在冒险
I prefer coffee to tea.,我喜欢咖啡胜过茶
Can you prove it?,你能证明吗
It's difficult to keep secrets.,守住秘密很难
I hope you'll get well soon.,我希望你很快就会好
The family is eating breakfast on the balcony.,一家人在阳台上吃早饭
I would like to become a poet.,我想要成为诗人
He is likely to be late for school.,他上学很可能会迟到
Can you teach me how to steal?,你能教我偷东西吗
You're impatient.,你缺乏耐心
Recently I moved to another apartment.,最近我搬到另一栋公寓
He is concerned about his father's illness.,他担心他父亲的身体
Did you make that mistake on purpose?,你故意犯那个错的吗
Are you going to come back?,你要回来吗
Lots of famous people come here.,许多名人来这里
I just got up.,我刚才起床了
The roof was damaged by the storm.,屋顶被暴风雨损坏了
What fruit do you like the best?,您最喜欢什么水果
My aunt gave me an album.,我姑姑给了我一张唱片专辑
I'll come back.,我会回来的
Let's not watch TV.,我们不要看电视吧
I'd be grateful to you if you could teach me to do that.,如果你能教我怎么做
This little baby tore up a 10 dollar bill.,这个小婴孩撕掉了一张十美元的钞票
Can I borrow your pencil for a bit?,我能用一下你的铅笔吗
The road was wet from the rain.,这条路因为下雨所以是湿的
I know all your secrets.,我知道你所有的秘密
"""If you can't come, you should let me know ahead of time.""",如果你不能来
What did Tom say?,汤姆说了什么
Let's split the reward fifty-fifty.,让我们平分这个报酬吧
Have you turned in your report?,你交报告了吗
The skin of a shark is much rougher than that of a tuna fish.,鲨鱼皮比金枪鱼皮粗糙多了
Do you remember us?,你还记得我们吗
You should have kept it secret.,你应该保密的
Is there any chance that Tom isn't going to be there?,有没有可能汤姆不会去那儿
What would you like to do in the future?,以后打算干什么
"""If you're busy, I'll help you.""",如果你忙
I've run out of money.,我钱已经用完了
I've never seen a live whale.,我从来没有见过一条活生生的鲸鱼
Tom doesn't have any idea why his wife left him.,汤姆根本不明白为甚么他的妻子离开了他
Thank you very much.,非常感谢
Does Tom still like jazz?,汤姆还喜欢爵士乐吗
I miss Mary's cooking.,我想念
Please find a solution to the problem.,请找到问题的解决方法
There was a car accident yesterday.,昨天发生了一场车祸
Good afternoon.,下午好
Tom got into trouble.,汤姆遇上麻烦了
At what age do you want to get married?,你想到几岁才结婚呢
How do you pronounce your name?,你怎么念你的名字
It's good to see you.,见到你真好
Tom slept with his shoes on.,汤姆穿着鞋睡了
Do you want to hear it?,您想听它吗
What time will you leave?,你什么时候离开
Tom isn't accustomed to walking barefooted.,汤姆不习惯光着脚漫步
He has all kinds of books.,他有各种各样的书
I'm a little bit concerned.,我有点担心
I'm staying home.,我在家里待著
Where are you right now?,你现在在哪里
I think Tom will likely like this movie.,我认为汤姆很可能会喜欢这部电影
I've got something you've got to see.,我有个东西您该看看
You should bring your passport to the bank.,你应该带护照去银行
Hang your coat on the hook.,把你的外套挂在钩子上
I don't do it anymore.,我已经不再做这个了
Tom is thirty years old.,汤姆今年三十岁
Tom knows you know.,汤姆知道你知道
"""In my opinion, she is correct.""",在我看来
He gave me his stamp of approval.,他给了我正式批准
How was your exam?,考得如何
"""Looking down, we saw a concrete jungle.""",我们往下看
Answer my question carefully.,仔细回答我的问题
Tom doesn't believe he could do that.,汤姆不相信他能做到
Sales fell off in the third quarter.,在第三季时销售跌了下来
Patience is essential for a teacher.,耐心对一个教师来说是必需的
Give her the book.,把这本书给她
He got a broken jaw and lost some teeth.,他磕碎了下巴
We gazed at the beautiful scenery.,我们望著这美丽的风景
Better luck next time.,祝你下一次好运
Are you there?,你在吗
Take it easy.,别紧张
Tom bought new gloves.,汤姆买了新手套
My motorcycle is new.,我的摩托车是新的
A cooking course should be mandatory in schools.,烹饪课程应该作为学校的必修课
I was bored with his old jokes.,我厌倦了他的老笑话
Did Tom respond?,汤姆有回应了吗
I grew up in Boston.,我在波士顿成长
Who else in Boston do you know?,你还认识波士顿的谁
We'll be ready in time.,我们会及时准备好
Take whatever you like.,你喜欢什么就拿吧
What do you usually do in your spare time?,你在闲暇的时候一般做什么
Tom said that he didn't like air conditioning.,汤姆说他不喜欢空调
She visits us every other day.,她每两天探访我们
Tom can do so much better than I can.,汤姆可以比我做得好很多
School begins at 8:30 a.m.,学校
What is the total amount of money you spent?,你一共花了多少钱
Did Tom give any other suggestions?,汤姆提出其他建议了吗
That factory makes toys.,那家工厂生产玩具
How often do the buses run?,公共汽车隔多久一班
Are you hiding something?,你是不是瞒着我什么
"""He did not answer the phone, so I sent him an email.""",他没有接电话
It's only two miles to the village.,到村庄只有两英里
Never underestimate Tom.,千万不可低估汤姆
Are you sure you and Tom have enough water?,你确定你和汤姆有足够的水吗
Father always has the tailor make his suits.,父亲总是让这位裁缝师为他做西装
He's had many unhappy experiences.,他有许多不愉快的经历
"""I can come, too.""",我也能去
Tom needs to go to the hospital.,汤姆必须去医院
I work for a bank.,我为一家银行工作
Algebra is my favorite subject.,代数是我最喜欢的科目
We had a very good time last night.,我们昨晚过得非常开心
I feel comfortable.,我感觉很舒服
Have you ever eaten a banana pie?,你吃过香蕉派吗
That's terrible.,这太可怕了
You should go home now.,你应该现在就回家
The cargo ship arrived four hours early.,货船早到了四小时
I saw him enter the room.,我看到他进房间
Can I eat this orange?,我能吃这只橙子吗
"""The volcano erupted suddenly, killing many people.""",火山突然喷发
He has no choice but to resign.,他没有选择
What time do you go home?,你几点回家
I can do it without her help.,没有她的帮忙我也能做
I can't trust you.,我没办法相信你
Did you have to get up very early this morning?,你今天必须起得很早吗
I'm really bad at this.,我实在不擅长这个
Rome wasn't built in a day.,冰冻三尺
"""Unfortunately, she is absent.""",不幸的是
Would you let me know when Tom comes?,你能让我知道汤姆什么时候来吗
I understand your feelings.,我明白你的感受
He has been in Hokkaido before.,他以前曾在北海道
Wait. Come back.,等等
When will we go?,我们甚么时候出发
Next time I'll come earlier.,下一次我会早一点到
I can't keep up with you.,我无法跟上你
The boy didn't change his opinion.,这个男孩没有改变他的意见
I feel a lot better today.,我今天感觉好多了
"""As long as you're here, I'll stay.""",只要你在这儿
I don't need anything.,我不需要任何东西
What have you done with my pen?,你把我的笔怎么了
He turned the key.,他转动钥匙
There are no clouds in the sky.,天上没有云
They're typical young people.,他们是典型的年轻人
Please give me something to drink.,请给我些饮料喝
He is like his father.,他像他父亲
I have a stupid question.,我有一个愚蠢的问题
I thought I had all the answers.,我认为我有所有的答案
Where does this street lead to?,这条街通到哪里
My French isn't good enough.,我的法语说得不够好
I'll call you tomorrow morning.,明天早上我会打电话给你
How's it going?,你们好吗
Do they like oranges?,他们喜欢橙子吗
Plastics have taken the place of many conventional materials.,塑料代替了许多传统的原料
He doesn't altogether trust me.,他并不完全信任我
It's up to you.,这就要看您了
Tom abstained from voting.,汤姆投票弃权
You should go.,你最好去
Tom should have handled the situation differently.,汤姆应该用别的方式处理这状况
Tom played the violin.,汤姆拉小提琴
That river flows into the Pacific.,这条河汇入太平洋
What did you find out?,你发现了甚么
What did you want to tell me?,你想对我说什么
Is the bath clean?,浴室干净吗
I can't see anything from here.,我从这里什么也看不见
I'm going to take my car.,我将去取我的车
Tom is fearless.,汤姆无所畏惧
I have a lot of friends to help me.,我有很多朋友帮我
This diamond isn't real.,这颗钻石不是真的
The clock is above the fireplace.,时钟在壁炉的上方
She said she had a cold.,她说她感冒了
"""I know that I know it, but I can't remember it.""",我知道我知道它
I did not expect it to be that big.,我没想到它有那么大
Tom came to see if Mary needed any help.,汤姆过来看看玛丽有没有什么需要帮忙的
Could you put it in plain language?,您可以简单点儿说吗
Language is the means by which people communicate with others.,语言是人们与他人交流的手段
These are pens.,这些是笔
Excuse me for interrupting you.,对不起
Here is a letter for you.,这是你的信
That gentleman usually wears a hat.,那位绅士经常戴著一顶帽子
My plans failed one after the other.,我的计划一个接一个的失败了
Everybody wants to sit beside her.,大家都想坐在她旁边
We have to try to communicate with them.,我们要设法跟他们交流
Is that a stork or a heron?,那是一只鹳还是一只苍鹭
Tom cut himself with his knife yesterday.,汤姆昨天用刀切到自己了
This news is official.,这是官方消息
He behaved as if he were crazy.,他表现的像个疯子
See you.,再见
This is much better.,这样好多了
How much does it cost?,这个几块
Can we trust them?,我们能信任他们吗
I love the people here.,我爱这里的人们
Taking off is easier than landing.,起飞比降落容易
I can't afford that.,我买不起那个
The candle went out by itself.,蜡烛自己灭了
I stayed in Boston for three days.,我在波士顿待了三天
Tom's parents were both teachers.,汤姆的父母都是教师
I cannot give you a definite answer today.,我今天无法给您一个最终的答复
I won!,我赢了
I'm walking with her.,我正跟她一起走
The tsunami alert was cancelled.,海啸的警报解除了
Stand up.,起立
I don't think I ordered that.,我觉得我没有下命令
Do you like oranges?,你喜欢橙子吗
They gave a big party for me.,他们为我办了一个盛大的派对
It's almost midnight here.,这里已经是午夜了
These lemons are fresh.,这些柠檬很新鲜
It'll soon be time for dinner.,不久就要吃正餐了
Tom is a distant relative of mine.,汤姆是我的远亲
We accept your challenge.,我们接受你们的挑战
This dog is white.,这只狗是白色的
"""Once you've formed a bad habit, you can't get rid of it easily.""",坏习惯一旦被养成
I saw more than Tom knows.,我看的比
It's your turn.,轮到你了
I ate a hasty lunch.,我匆忙的吃了午餐
Tell me Tom's email address.,告诉我汤姆的邮箱地址吧
I think a movie is more entertaining than any book.,我觉得一部电影比任何书都有趣
We hope a solution is found.,我们希望找到解决方法
I weighed myself on the bathroom scales.,我用浴室的体重计量了体重
What would you do if you had ten thousand dollars?,如果你有一万美元
Tom has a pretty big mouth.,汤姆是一个大嘴巴
Did Tom ever threaten you?,汤姆威胁过你吗
I had trouble unwrapping the package.,我在打开包装时遇到了麻烦
She was killed in an automobile accident.,她死于一场汽车车祸
Do you know this song?,你知道这首歌吗
I was barely able to work.,我几乎不能工作了
"""He knows German and French, not to mention English.""",不提英语
She made coffee for all of us.,她为我们所有的人煮咖啡
I knew what Tom was doing.,我知道汤姆在做什么
She's sitting on the bench.,她坐在长椅上
Some object to Tom's opinion.,有些人反对汤姆的意见
We went down a river by canoe.,我们乘著独木舟向河的下游而行
This bus will take you to the airport.,这辆公交车能载你去机场
It's already 11.,已经是
We're not as young as Tom.,我们不再像汤姆那样年轻
Help us reach our goal.,帮助我们达成目标
She's on a diet.,她在节食
It seems less crowded during the week.,平日似乎比较不拥挤
I'd like to get some sleep.,我想睡点觉
She will accompany me on the piano.,她会弹钢琴为我伴奏
I'm dead tired.,困死了
Do people in your country eat rice?,在您国家的人是吃米饭的吗
It all makes sense now.,现在一切都明白了
You are not at all wrong.,你完全没错
He has gone to Britain.,他已经去了英国
I must be getting close.,我一定越来越接近了
I grew up in the country.,我在乡下长大
Don't eat that!,不要吃那个
I helped my mother in the kitchen.,我在厨房里帮妈妈
I had lost a camera the previous day.,我前一天丢了一台相机
"""The colors of the American flag are red, white and blue.""",美国国旗的颜色是红白蓝
I don't want to cause any more trouble.,我不想再惹事了
I almost always play baseball after school.,我几乎总是在放学后打棒球
I need to go to the toilet.,我要去厕所
What can go wrong?,什么可以出岔子
You should do your homework now.,你应该现在做功课
It can be dangerous.,它有危险
My sister usually walks to school.,我姊姊通常走路上学
The princess begged forgiveness from the emperor.,公主向皇帝请求饶恕
Have you ever seen him swimming?,你曾看过他游泳吗
I heard Tom screaming.,我听到汤姆尖叫
I'm reformed.,我改过自新了
We should cancel the hike.,我们应该取消这次远足
It is just your imagination.,这仅是你的想像而已
My grandfather died five years ago.,我祖父五年前去世了
It's not that far.,不是那么远
Nice timing.,好时机
I should have known better than to call him.,早知道我不应该打电话给他
Do you know if she can speak English?,你知道她会说英语吗
There must be a way to arrive at a diplomatic solution.,必须有外交解决的途径
Make yourself at home.,就当在家一样
I wish you a happy birthday.,我祝你生日快乐
We had an early lunch at school.,我们在学校有一个早午餐
I'll give you a call tomorrow.,明天我给你打电话
I want to go with you.,我想和你一起走
Tom is already used to that.,汤姆已经习惯了
Someone has been here.,有人来过这里
This pamphlet is free of charge.,这本小册子是免费的
"""May I have the check, please?""",请把帐单给我好吗
You can sit wherever you want.,你可以坐你想坐的任何地方
Tom won't let me buy any more stuff.,汤姆不会让我再买甚么东西了
I'll keep that book for myself.,我要把这本书留给自己
Tom moves quickly.,汤姆动得好快
Tom hit me first.,汤姆先打了我
Don't stand in front of me.,不要站在我前面
The accident held up traffic.,事故耽误了交通
"""If the lion is the king of beasts, the eagle is the king of birds.""",狮子是兽类之王的话
I think we should talk about this now.,我认为我们现在就该谈谈这事
He rescued the child from the fire.,他从火场中救了这个孩子
I am not stupid.,我不是笨蛋
You wouldn't believe me if I told you.,我告诉你
It's really awesome.,太棒了
Children are our future.,孩子是我们的未来
I'm as hungry as a horse.,我饿得像匹马
I get off at the next station.,我下一站下车
What's your problem?,你有什么问题
Welcome to your new home.,欢迎来到你的新家
Wait!,等一下
He really wants to meet you.,他真的想见你
"""""""What time is it?"""" """"It is ten-thirty.""""""",""""""""""
Give me something to do.,给我点事做
The students performed Hamlet.,学生们表演哈姆雷特
Don't open your book.,不要打开你的书
My father has been engaged in foreign trade for many years.,我父亲经营外贸多年
I also went.,我也去了
Will I have a scar?,我会留疤吗
I don't want to sleep.,我不想睡觉
Tomorrow's weather should be sunny with occasional rain.,明天天气晴转阵雨
Tom said he needed money.,汤姆说他需要钱
We are glad to have you in our class.,我们很高兴你加入了我们班
The accident happened on Sunday at about 3:00.,此事故发生在周日
You can eat whatever you like.,你可以吃你喜欢的东西
Tom didn't tell me the truth.,汤姆没有告诉我实话
I'm coming.,我来啦
I've discovered something interesting.,我发现了一些有趣的东西
I told Tom I was OK.,我对汤姆说我很好
She was aching from head to foot.,她浑身酸痛
Tom picked up the knife.,汤姆拿起了刀
I didn't get along with her.,我没有和她相处过
Something is wrong with the washing machine.,洗衣机有些不对劲
I know the girl playing tennis.,我认识这个打网球的女孩
They have English lessons three times a week.,他们一周上
A cold front swept over Europe.,一股寒流侵袭了欧洲
I'm a free man.,我是一个自由的人
She gave me several books.,她给了我几本书
